sample_size_n,replicates,mean_hat_p,std_hat_p,theoretical_p,abs_error_of_mean,theoretical_SE,frac_within_±1.96SE
20,200,0.4035,0.105205,0.4,0.0035,0.109545,0.975
200,200,0.398175,0.032307,0.4,0.001825,0.034641,0.95
2000,200,0.399767,0.010738,0.4,0.000233,0.010954,0.945
20000,200,0.400128,0.003845,0.4,0.000128,0.003464,0.915
