start_position,rotation_count,current_position,transform,is_identity
0,0,0,Golden Ratio,True
0,1,1,Golden Ratio,False
0,2,3,Golden Ratio,False
0,3,8,Golden Ratio,False
0,4,14,Golden Ratio,False
0,5,16,Golden Ratio,False
0,6,0,Golden Ratio,False
0,7,1,Golden Ratio,False
0,8,3,Golden Ratio,False
0,9,8,Golden Ratio,False
0,10,14,Golden Ratio,False
0,11,16,Golden Ratio,False
0,12,0,Golden Ratio,False
0,13,1,Golden Ratio,False
0,14,3,Golden Ratio,False
0,15,8,Golden Ratio,False
0,16,14,Golden Ratio,False
0,17,16,Golden Ratio,False
0,18,0,Golden Ratio,False
0,19,1,Golden Ratio,False
0,20,3,Golden Ratio,False
0,21,8,Golden Ratio,False
0,22,14,Golden Ratio,False
0,23,16,Golden Ratio,False
0,24,0,Golden Ratio,False
0,25,1,Golden Ratio,False
1,0,1,Golden Ratio,True
1,1,3,Golden Ratio,False
1,2,8,Golden Ratio,False
1,3,14,Golden Ratio,False
1,4,16,Golden Ratio,False
1,5,0,Golden Ratio,False
1,6,1,Golden Ratio,False
1,7,3,Golden Ratio,False
1,8,8,Golden Ratio,False
1,9,14,Golden Ratio,False
1,10,16,Golden Ratio,False
1,11,0,Golden Ratio,False
1,12,1,Golden Ratio,False
1,13,3,Golden Ratio,False
1,14,8,Golden Ratio,False
1,15,14,Golden Ratio,False
1,16,16,Golden Ratio,False
1,17,0,Golden Ratio,False
1,18,1,Golden Ratio,False
1,19,3,Golden Ratio,False
1,20,8,Golden Ratio,False
1,21,14,Golden Ratio,False
1,22,16,Golden Ratio,False
1,23,0,Golden Ratio,False
1,24,1,Golden Ratio,False
1,25,3,Golden Ratio,False
2,0,2,Golden Ratio,True
2,1,6,Golden Ratio,False
2,2,9,Golden Ratio,False
2,3,10,Golden Ratio,False
2,4,13,Golden Ratio,False
2,5,14,Golden Ratio,False
2,6,16,Golden Ratio,False
2,7,0,Golden Ratio,False
2,8,1,Golden Ratio,False
2,9,3,Golden Ratio,False
2,10,8,Golden Ratio,False
2,11,14,Golden Ratio,False
2,12,16,Golden Ratio,False
2,13,0,Golden Ratio,False
2,14,1,Golden Ratio,False
2,15,3,Golden Ratio,False
2,16,8,Golden Ratio,False
2,17,14,Golden Ratio,False
2,18,16,Golden Ratio,False
2,19,0,Golden Ratio,False
2,20,1,Golden Ratio,False
2,21,3,Golden Ratio,False
2,22,8,Golden Ratio,False
2,23,14,Golden Ratio,False
2,24,16,Golden Ratio,False
2,25,0,Golden Ratio,False
3,0,3,Golden Ratio,True
3,1,8,Golden Ratio,False
3,2,14,Golden Ratio,False
3,3,16,Golden Ratio,False
3,4,0,Golden Ratio,False
3,5,1,Golden Ratio,False
3,6,3,Golden Ratio,False
3,7,8,Golden Ratio,False
3,8,14,Golden Ratio,False
3,9,16,Golden Ratio,False
3,10,0,Golden Ratio,False
3,11,1,Golden Ratio,False
3,12,3,Golden Ratio,False
3,13,8,Golden Ratio,False
3,14,14,Golden Ratio,False
3,15,16,Golden Ratio,False
3,16,0,Golden Ratio,False
3,17,1,Golden Ratio,False
3,18,3,Golden Ratio,False
3,19,8,Golden Ratio,False
3,20,14,Golden Ratio,False
3,21,16,Golden Ratio,False
3,22,0,Golden Ratio,False
3,23,1,Golden Ratio,False
3,24,3,Golden Ratio,False
3,25,8,Golden Ratio,False
4,0,4,Golden Ratio,True
4,1,11,Golden Ratio,False
4,2,15,Golden Ratio,False
4,3,19,Golden Ratio,False
4,4,1,Golden Ratio,False
4,5,3,Golden Ratio,False
4,6,8,Golden Ratio,False
4,7,14,Golden Ratio,False
4,8,16,Golden Ratio,False
4,9,0,Golden Ratio,False
4,10,1,Golden Ratio,False
4,11,3,Golden Ratio,False
4,12,8,Golden Ratio,False
4,13,14,Golden Ratio,False
4,14,16,Golden Ratio,False
4,15,0,Golden Ratio,False
4,16,1,Golden Ratio,False
4,17,3,Golden Ratio,False
4,18,8,Golden Ratio,False
4,19,14,Golden Ratio,False
4,20,16,Golden Ratio,False
4,21,0,Golden Ratio,False
4,22,1,Golden Ratio,False
4,23,3,Golden Ratio,False
4,24,8,Golden Ratio,False
4,25,14,Golden Ratio,False
5,0,5,Golden Ratio,True
5,1,7,Golden Ratio,False
5,2,12,Golden Ratio,False
5,3,18,Golden Ratio,False
5,4,20,Golden Ratio,False
5,5,4,Golden Ratio,False
5,6,11,Golden Ratio,False
5,7,15,Golden Ratio,False
5,8,19,Golden Ratio,False
5,9,1,Golden Ratio,False
5,10,3,Golden Ratio,False
5,11,8,Golden Ratio,False
5,12,14,Golden Ratio,False
5,13,16,Golden Ratio,False
5,14,0,Golden Ratio,False
5,15,1,Golden Ratio,False
5,16,3,Golden Ratio,False
5,17,8,Golden Ratio,False
5,18,14,Golden Ratio,False
5,19,16,Golden Ratio,False
5,20,0,Golden Ratio,False
5,21,1,Golden Ratio,False
5,22,3,Golden Ratio,False
5,23,8,Golden Ratio,False
5,24,14,Golden Ratio,False
5,25,16,Golden Ratio,False
6,0,6,Golden Ratio,True
6,1,9,Golden Ratio,False
6,2,10,Golden Ratio,False
6,3,13,Golden Ratio,False
6,4,14,Golden Ratio,False
6,5,16,Golden Ratio,False
6,6,0,Golden Ratio,False
6,7,1,Golden Ratio,False
6,8,3,Golden Ratio,False
6,9,8,Golden Ratio,False
6,10,14,Golden Ratio,False
6,11,16,Golden Ratio,False
6,12,0,Golden Ratio,False
6,13,1,Golden Ratio,False
6,14,3,Golden Ratio,False
6,15,8,Golden Ratio,False
6,16,14,Golden Ratio,False
6,17,16,Golden Ratio,False
6,18,0,Golden Ratio,False
6,19,1,Golden Ratio,False
6,20,3,Golden Ratio,False
6,21,8,Golden Ratio,False
6,22,14,Golden Ratio,False
6,23,16,Golden Ratio,False
6,24,0,Golden Ratio,False
6,25,1,Golden Ratio,False
7,0,7,Golden Ratio,True
7,1,12,Golden Ratio,False
7,2,18,Golden Ratio,False
7,3,20,Golden Ratio,False
7,4,4,Golden Ratio,False
7,5,11,Golden Ratio,False
7,6,15,Golden Ratio,False
7,7,19,Golden Ratio,False
7,8,1,Golden Ratio,False
7,9,3,Golden Ratio,False
7,10,8,Golden Ratio,False
7,11,14,Golden Ratio,False
7,12,16,Golden Ratio,False
7,13,0,Golden Ratio,False
7,14,1,Golden Ratio,False
7,15,3,Golden Ratio,False
7,16,8,Golden Ratio,False
7,17,14,Golden Ratio,False
7,18,16,Golden Ratio,False
7,19,0,Golden Ratio,False
7,20,1,Golden Ratio,False
7,21,3,Golden Ratio,False
7,22,8,Golden Ratio,False
7,23,14,Golden Ratio,False
7,24,16,Golden Ratio,False
7,25,0,Golden Ratio,False
